player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
19,Haley Mack,F,1,1,2,0,2,2,0,0,0,0 - 0,0,1,0,2,0,0,0,Minnesota Whitecaps,stats#/player/706982,706982,420369,,,,,,,2022
21,Audra Morrison,F,1,1,2,0,1,3,0,0,0,0 - 0,0,0,0,4,1,0,0,Minnesota Whitecaps,stats#/player/431673,431673,420369,,,,,,,2022
4,Chelsey Rosenthal,F,0,1,1,4,0,1,1,0,0,0 - 0,0,0,0,1,0,0,0,Minnesota Whitecaps,stats#/player/967939,967939,420369,,,,,,,2022
7,Emma Stauber,D,0,1,1,2,0,0,2,0,0,0 - 0,0,0,0,1,1,0,0,Minnesota Whitecaps,stats#/player/968364,968364,420369,,,,,,,2022
13,Ashleigh Brykaliuk,F,0,1,1,0,2,2,1,0,0,13 - 15,0.464,0,0,3,1,13,15,Minnesota Whitecaps,stats#/player/949961,949961,420369,,,,,,,2022
27,Patti Marshall,D,0,1,1,0,3,4,1,1,0,0 - 0,0,0,0,4,0,0,0,Minnesota Whitecaps,stats#/player/949970,949970,420369,,,,,,,2022
2,Mak Langei,D,0,0,0,0,1,2,0,0,1,0 - 0,0,0,0,3,1,0,0,Minnesota Whitecaps,stats#/player/949960,949960,420369,,,,,,,2022
5,Winnie Brodt-Brown,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Minnesota Whitecaps,stats#/player/967843,967843,420369,,,,,,,2022
14,Alex Woken,F,0,0,0,0,0,1,1,0,0,0 - 0,0,0,0,1,0,0,0,Minnesota Whitecaps,stats#/player/961081,961081,420369,,,,,,,2022
15,Meaghan Pezon,F,0,0,0,0,0,3,0,0,0,5 - 7,0.417,0,0,3,0,5,7,Minnesota Whitecaps,stats#/player/455178,455178,420369,,,,,,,2022
16,Lexie Laing,F,0,0,0,0,0,3,0,0,1,1 - 1,0.5,0,0,3,0,1,1,Minnesota Whitecaps,stats#/player/967905,967905,420369,,,,,,,2022
18,Stephanie Anderson,F,0,0,0,14,1,2,0,0,0,7 - 4,0.636,0,0,2,0,7,4,Minnesota Whitecaps,stats#/player/431659,431659,420369,,,,,,,2022
25,Nicole Schammel,F,0,0,0,0,0,2,0,0,0,5 - 10,0.333,0,0,2,0,5,10,Minnesota Whitecaps,stats#/player/949958,949958,420369,,,,,,,2022
33,Maddie Rowe,D,0,0,0,2,0,0,2,1,0,0 - 0,0,0,0,0,0,0,0,Minnesota Whitecaps,stats#/player/707198,707198,420369,,,,,,,2022
70,Carly Jackson,G,0,0,,0,,,,,,,,,,,,,,Buffalo Beauts,,1034319,420369,30:33,17,4,13,0.765,stats#/player/1034319,2022
88,Lovisa Berndtsson,G,0,0,,0,,,,,,,,,,,,,,Buffalo Beauts,,824067,420369,29:27,17,2,15,0.882,stats#/player/824067,2022
29,Amanda Leveille,G,0,0,,0,,,,,,,,,,,,,,Minnesota Whitecaps,,967811,420369,50:45,24,1,23,0.958,stats#/player/967811,2022
35,Jenna Brenneman,G,0,0,,0,,,,,,,,,,,,,,Minnesota Whitecaps,,977772,420369,09:15,0,0,0,0,stats#/player/977772,2022
14,Jillian Dempsey,F,2,0,2,0,2,6,0,0,2,10 - 13,0.435,0,2,6,0,10,13,Boston Pride,stats#/player/58116,58116,420364,,,,,,,2022
17,McKenna Brand,F,0,2,2,0,2,2,0,2,0,0 - 0,0,0,0,2,0,0,0,Boston Pride,stats#/player/431610,431610,420364,,,,,,,2022
13,Kaleigh Fratkin,D,1,0,1,0,2,4,3,0,3,0 - 0,0,0,1,5,1,0,0,Boston Pride,stats#/player/57735,57735,420364,,,,,,,2022
