player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href
27,Shiann Darkangelo,F,0,0,0,0,0,4,0,0,0,1 - 5,0.167,0,0,4,0,1,5,stats#/player/542419,542419,40885,,,,,,
44,Tara Tomimoto,D,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57728,57728,40885,,,,,,
56,Jessica Koizumi,F,0,0,0,2,0,1,0,0,0,1 - 0,1,0,0,1,0,1,0,stats#/player/57757,57757,40885,,,,,,
88,Alyssa Wohlfeiler,F,0,0,0,4,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/57768,57768,40885,,,,,,
3,Kelley Steadman,F,2,1,3,2,0,8,0,0,0,3 - 5,0.375,0,0,8,0,3,5,stats#/player/58085,58085,40885,,,,,,
10,Meghan Duggan,F,1,1,2,0,0,6,0,0,0,15 - 13,0.536,0,0,6,0,15,13,stats#/player/58098,58098,40885,,,,,,
23,Lindsay Grigg,D,0,1,1,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58105,58105,40885,,,,,,
77,Hayley Williams,F,0,1,1,0,0,2,0,0,0,6 - 7,0.462,0,0,2,0,6,7,stats#/player/58113,58113,40885,,,,,,
2,Paige Harrington,D,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58084,58084,40885,,,,,,
6,Jessica Fickel,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58087,58087,40885,,,,,,
7,Emily Pfalzer,D,0,0,0,0,0,4,0,0,0,0 - 0,0,0,0,4,0,0,0,stats#/player/58088,58088,40885,,,,,,
9,Megan Bozek,D,0,0,0,0,0,9,0,0,0,0 - 0,0,0,0,9,0,0,0,stats#/player/58091,58091,40885,,,,,,
12,Hannah McGowan,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58099,58099,40885,,,,,,
14,Kelly McDonald,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58101,58101,40885,,,,,,
20,Erin Zach,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58103,58103,40885,,,,,,
21,Devon Skeats,F,0,0,0,2,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/58104,58104,40885,,,,,,
24,Hailey Browne,F,0,0,0,2,0,3,0,0,0,1 - 2,0.333,0,0,3,0,1,2,stats#/player/58106,58106,40885,,,,,,
36,Kourtney Kunichika,F,0,0,0,0,0,0,0,0,0,8 - 12,0.4,0,0,0,0,8,12,stats#/player/58111,58111,40885,,,,,,
43,Tatiana Rafter,F,0,0,0,4,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58112,58112,40885,,,,,,
24,Nicole Stock,G,0,0,,0,,,,,,,,,,,,,,,57750,40885,60:00,37,3,34,0.919,stats#/player/57750
32,Jaimie Leonoff,G,0,0,,0,,,,,,,,,,,,,,,57754,40885,00:00,0,0,0,0,stats#/player/57754
78,Chelsea Laden,G,0,0,,0,,,,,,,,,,,,,,,57761,40885,00:00,0,0,0,0,stats#/player/57761
1,Kimberly Sass,G,0,0,,0,,,,,,,,,,,,,,,58083,40885,00:00,0,0,0,0,stats#/player/58083
29,Brianne McLaughlin,G,0,0,,0,,,,,,,,,,,,,,,58108,40885,00:00,0,0,0,0,stats#/player/58108
34,Amanda Makela,G,0,0,,0,,,,,,,,,,,,,,,58109,40885,59:52,42,5,37,0.881,stats#/player/58109
3,Jillian Dempsey,F,2,1,3,2,0,0,0,0,0,13 - 6,0.684,0,0,6,0,13,6,stats#/player/58116,58116,40884,,,,,,
14,Brianna Decker,F,1,2,3,0,0,0,0,0,0,15 - 7,0.682,1,0,6,0,15,7,stats#/player/58122,58122,40884,,,,,,
21,Hilary Knight,F,1,2,3,0,0,0,0,0,0,4 - 0,1,0,0,4,0,4,0,stats#/player/58127,58127,40884,,,,,,
12,Marissa Gedman,D,0,2,2,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58121,58121,40884,,,,,,
15,Emily Field,F,0,2,2,0,0,0,0,0,0,0 - 1,0,0,0,0,0,0,1,stats#/player/58123,58123,40884,,,,,,
16,Amanda Pelkey,F,1,1,2,2,0,0,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/58124,58124,40884,,,,,,
19,Gigi Marvin,D,0,2,2,0,0,0,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/58126,58126,40884,,,,,,
23,Corinne Buie,F,1,1,2,0,0,0,0,0,0,0 - 0,0,0,0,4,0,0,0,stats#/player/58129,58129,40884,,,,,,
10,Blake Bolden,D,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58119,58119,40884,,,,,,
11,Jordan Smelker,F,1,0,1,0,0,0,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/58120,58120,40884,,,,,,
44,Zoe Hickel,F,0,1,1,0,0,0,0,0,0,0 - 0,0,0,0,4,0,0,0,stats#/player/463308,463308,40884,,,,,,
91,Rachel Llanes,F,1,0,1,2,0,0,0,0,0,9 - 6,0.6,0,0,3,0,9,6,stats#/player/58135,58135,40884,,,,,,
2,Alyssa Gagliardi,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58115,58115,40884,,,,,,
5,Kelly Cooke,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58117,58117,40884,,,,,,
7,Casey Pickett,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58118,58118,40884,,,,,,
18,Cherie Hendrickson,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58125,58125,40884,,,,,,
22,Kacey Bellamy,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58128,58128,40884,,,,,,
57,Meagan Mangene,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/58134,58134,40884,,,,,,
17,Bray Ketchum,F,1,0,1,0,0,0,0,0,0,0 - 1,0,0,0,3,0,0,1,stats#/player/57716,57716,40884,,,,,,
20,Brooke Ammerman,F,0,1,1,0,0,0,0,0,0,2 - 8,0.2,0,0,2,0,2,8,stats#/player/57718,57718,40884,,,,,,
2,Amber Moore,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57697,57697,40884,,,,,,
4,Elena Orlando,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/909127,909127,40884,,,,,,
8,Sydney Kidd,D,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57699,57699,40884,,,,,,
9,Ludmila Belyakova,F,0,0,0,0,0,0,0,0,0,4 - 9,0.308,0,0,4,0,4,9,stats#/player/57700,57700,40884,,,,,,
11,Morgan Fritz-Ward,F,0,0,0,0,0,0,0,0,0,1 - 2,0.333,0,0,1,0,1,2,stats#/player/57702,57702,40884,,,,,,
12,Janine Weber,F,0,0,0,0,0,0,0,0,0,9 - 11,0.45,0,0,1,0,9,11,stats#/player/513300,513300,40884,,,,,,
13,Cherie Stewart,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57714,57714,40884,,,,,,
