"team","game_id","winner","total_scoring","first_scoring","second_scoring","third_scoring","overtime_scoring","shootout_scoring","total_shots","first_shots","second_shots","third_shots","overtime_shots","shootout_shots","blocked_opponent_shots","successful_power_play","power_play_opportunities","power_play_percent","faceoff_percent","penalty_minutes","takeaways","giveaways","date"
"met",274697,"No",3,2,0,1,NA,NA,3,2,0,1,NA,NA,0,0,0,0,0,14,0,0,2018-02-25
"ctw",274698,"No",2,0,1,1,NA,NA,17,6,8,3,NA,NA,0,0,0,0,0,4,0,0,2018-03-03
"bos",274698,"Yes",3,2,1,0,NA,NA,31,12,7,12,NA,NA,0,0,0,0,0,4,0,0,2018-03-03
"buf",274699,"Yes",2,1,1,0,NA,NA,2,1,1,0,NA,NA,0,0,0,0,0,4,0,0,2018-03-04
"met",274699,"No",1,0,1,0,NA,NA,1,0,1,0,NA,NA,0,0,0,0,0,4,0,0,2018-03-04
"buf",274700,"Yes",4,0,3,1,NA,NA,37,9,14,14,NA,NA,0,0,0,0,0,6,0,0,2018-03-10
"ctw",274700,"No",1,1,0,0,NA,NA,23,5,11,7,NA,NA,0,0,0,0,0,8,0,0,2018-03-10
"met",274701,"Yes",4,1,1,2,NA,NA,4,1,1,2,NA,NA,0,0,0,0,0,6,0,0,2018-03-10
"bos",274701,"No",1,0,1,0,NA,NA,1,0,1,0,NA,NA,0,0,0,0,0,2,0,0,2018-03-10
"bos",274774,"No",2,1,1,0,1,NA,40,8,17,13,2,NA,0,0,0,0,0,10,0,0,2018-03-17
"buf",274774,"Yes",3,1,0,1,0,NA,37,15,7,14,1,NA,0,0,0,0,0,8,0,0,2018-03-17
"ctw",274834,"No",0,0,0,0,NA,NA,26,6,10,10,NA,NA,0,0,0,0,0,10,0,0,2018-03-18
"met",274834,"Yes",5,1,1,3,NA,NA,18,5,6,7,NA,NA,0,0,0,0,0,12,0,0,2018-03-18
"buf",274773,"No",0,0,0,0,NA,NA,18,8,6,4,NA,NA,0,0,0,0,0,16,0,0,2018-03-25
"met",274773,"Yes",1,1,0,0,NA,NA,22,7,7,8,NA,NA,0,0,0,0,0,2,0,0,2018-03-25
"met",274708,"No",0,0,0,0,NA,NA,27,10,8,9,NA,NA,0,0,0,0,0,6,0,0,2018-10-06
"min",274708,"Yes",4,1,1,2,NA,NA,26,8,10,8,NA,NA,0,0,0,0,0,6,0,0,2018-10-06
"met",274709,"No",1,1,0,0,NA,NA,21,6,6,9,NA,NA,0,0,0,0,0,6,0,0,2018-10-07
"min",274709,"Yes",3,1,2,0,NA,NA,25,6,9,10,NA,NA,0,0,0,0,0,10,0,0,2018-10-07
"buf",274710,"Yes",4,2,0,2,NA,NA,14,6,3,5,NA,NA,0,0,0,0,0,6,0,0,2018-10-07
"ctw",274710,"No",0,0,0,0,NA,NA,38,13,17,8,NA,NA,0,0,0,0,0,12,0,0,2018-10-07
"ctw",274711,"No",0,0,0,0,NA,NA,34,15,9,10,NA,NA,0,0,0,0,0,6,0,0,2018-10-13
"buf",274711,"Yes",7,2,1,4,NA,NA,29,10,6,13,NA,NA,0,0,0,0,0,2,0,0,2018-10-13
"met",274712,"No",1,1,0,0,NA,NA,38,20,7,11,NA,NA,0,0,0,0,0,4,0,0,2018-10-13
"bos",274712,"Yes",5,0,1,4,NA,NA,23,3,8,12,NA,NA,0,0,0,0,0,10,0,0,2018-10-13
"min",274713,"Yes",5,1,2,2,NA,NA,32,7,8,17,NA,NA,0,0,0,0,0,2,0,0,2018-10-20
"met",274713,"No",3,1,1,1,NA,NA,25,7,13,5,NA,NA,0,0,0,0,0,4,0,0,2018-10-20
"ctw",274714,"No",2,0,2,0,NA,NA,34,12,10,12,NA,NA,0,0,0,0,0,4,0,0,2018-10-20
"bos",274714,"Yes",4,1,1,2,NA,NA,19,8,6,5,NA,NA,0,0,0,0,0,10,0,0,2018-10-20
"min",274715,"Yes",6,2,1,3,NA,NA,32,15,9,8,NA,NA,0,0,0,0,0,8,0,0,2018-10-21
"met",274715,"No",2,0,1,1,NA,NA,31,9,11,11,NA,NA,0,0,0,0,0,10,0,0,2018-10-21
"buf",274716,"No",2,0,1,1,NA,NA,30,12,7,11,NA,NA,0,0,0,0,0,8,0,0,2018-10-27
"min",274716,"Yes",3,1,0,2,NA,NA,40,11,17,12,NA,NA,0,0,0,0,0,6,0,0,2018-10-27
"met",274717,"Yes",3,1,1,1,NA,NA,40,11,12,17,NA,NA,0,0,0,0,0,0,0,0,2018-10-27
"bos",274717,"No",2,0,1,1,NA,NA,31,10,9,12,NA,NA,0,0,0,0,0,8,0,0,2018-10-27
"buf",274718,"No",1,1,0,0,NA,NA,31,12,16,3,NA,NA,0,0,0,0,0,10,0,0,2018-10-28
"min",274718,"Yes",2,1,0,1,NA,NA,37,16,8,13,NA,NA,0,0,0,0,0,6,0,0,2018-10-28
"buf",274719,"No",1,0,1,0,NA,NA,27,10,11,6,NA,NA,0,0,0,0,0,4,0,0,2018-11-17
"bos",274719,"Yes",4,1,1,2,NA,NA,30,12,10,8,NA,NA,0,0,0,0,0,4,0,0,2018-11-17
"ctw",274720,"Yes",2,1,0,1,NA,NA,29,8,9,12,NA,NA,0,0,0,0,0,10,0,0,2018-11-18
"met",274720,"No",1,1,0,0,NA,NA,21,5,13,3,NA,NA,0,0,0,0,0,6,0,0,2018-11-18
"buf",274721,"Yes",5,2,2,1,NA,NA,31,12,11,8,NA,NA,0,0,0,0,0,10,0,0,2018-11-18
"bos",274721,"No",2,1,0,1,NA,NA,22,7,8,7,NA,NA,0,0,0,0,0,6,0,0,2018-11-18
"ctw",274722,"No",3,1,2,0,0,NA,41,14,12,8,7,NA,0,0,0,0,0,8,0,0,2018-11-25
"met",274722,"Yes",4,2,0,1,0,NA,39,13,11,11,4,NA,0,0,0,0,0,6,0,0,2018-11-25
"bos",274723,"Yes",5,2,1,2,NA,NA,42,18,12,12,NA,NA,0,0,0,0,0,12,0,0,2018-12-01
"min",274723,"No",1,0,1,0,NA,NA,27,11,8,8,NA,NA,0,0,0,0,0,10,0,0,2018-12-01
"bos",274724,"Yes",7,2,2,3,NA,NA,35,12,11,12,NA,NA,0,0,0,0,0,4,0,0,2018-12-02
"min",274724,"No",2,1,1,0,NA,NA,29,8,14,7,NA,NA,0,0,0,0,0,6,0,0,2018-12-02
"met",274725,"No",0,0,0,0,NA,NA,18,4,7,7,NA,NA,0,0,0,0,0,8,0,0,2018-12-02
"ctw",274725,"Yes",4,1,1,2,NA,NA,35,8,13,14,NA,NA,0,0,0,0,0,6,0,0,2018-12-02
"ctw",274726,"No",1,0,1,0,NA,NA,36,6,18,12,NA,NA,0,0,0,0,0,4,0,0,2018-12-08
"buf",274726,"Yes",3,1,1,1,NA,NA,14,3,6,5,NA,NA,0,0,0,0,0,8,0,0,2018-12-08
"bos",274727,"Yes",5,1,1,3,NA,NA,28,9,9,10,NA,NA,0,0,0,0,0,6,0,0,2018-12-09
"met",274727,"No",2,1,0,1,NA,NA,38,9,14,15,NA,NA,0,0,0,0,0,12,0,0,2018-12-09
"min",274728,"Yes",2,0,1,1,NA,NA,36,10,15,11,NA,NA,0,0,0,0,0,6,0,0,2018-12-29
"buf",274728,"No",1,1,0,0,NA,NA,28,8,10,10,NA,NA,0,0,0,0,0,12,0,0,2018-12-29
"min",274729,"No",0,0,0,0,NA,NA,27,5,12,10,NA,NA,0,0,0,0,0,12,0,0,2018-12-30
"buf",274729,"Yes",4,1,2,1,NA,NA,37,16,10,11,NA,NA,0,0,0,0,0,10,0,0,2018-12-30
"bos",274730,"Yes",2,1,0,0,1,NA,19,7,8,3,1,NA,0,0,0,0,0,14,0,0,2018-12-30
"ctw",274730,"No",1,0,1,0,0,NA,36,14,11,10,1,NA,0,0,0,0,0,12,0,0,2018-12-30
"bos",274731,"No",0,0,0,0,NA,NA,40,19,14,7,NA,NA,0,0,0,0,0,6,0,0,2019-01-05
"buf",274731,"Yes",5,0,2,3,NA,NA,35,10,14,11,NA,NA,0,0,0,0,0,17,0,0,2019-01-05
"met",274732,"Yes",6,3,2,1,NA,NA,28,11,8,9,NA,NA,0,0,0,0,0,10,0,0,2019-01-06
"ctw",274732,"No",3,1,1,1,NA,NA,22,6,7,9,NA,NA,0,0,0,0,0,10,0,0,2019-01-06
"met",274733,"No",1,1,0,0,NA,NA,36,8,12,16,NA,NA,0,0,0,0,0,25,0,0,2019-01-12
"buf",274733,"Yes",5,2,2,1,NA,NA,30,14,12,4,NA,NA,0,0,0,0,0,23,0,0,2019-01-12
"min",274734,"No",4,2,1,1,NA,NA,29,13,7,9,NA,NA,0,0,0,0,0,4,0,0,2019-01-12
"bos",274734,"Yes",5,5,0,0,NA,NA,35,12,12,11,NA,NA,0,0,0,0,0,4,0,0,2019-01-12
"min",274735,"Yes",4,3,1,0,NA,NA,31,15,6,10,NA,NA,0,0,0,0,0,14,0,0,2019-01-13
"ctw",274735,"No",1,1,0,0,NA,NA,35,16,9,10,NA,NA,0,0,0,0,0,4,0,0,2019-01-13
"ctw",274736,"No",0,0,0,0,NA,NA,40,12,16,12,NA,NA,0,0,0,0,0,2,0,0,2019-01-19
"min",274736,"Yes",2,0,1,1,NA,NA,21,7,4,10,NA,NA,0,0,0,0,0,4,0,0,2019-01-19
"ctw",274737,"No",0,0,0,0,NA,NA,41,8,16,17,NA,NA,0,0,0,0,0,6,0,0,2019-01-20
"min",274737,"Yes",9,0,2,7,NA,NA,27,7,6,14,NA,NA,0,0,0,0,0,8,0,0,2019-01-20
"bos",274738,"No",1,0,1,0,NA,NA,48,16,20,12,NA,NA,0,0,0,0,0,12,0,0,2019-01-26
"buf",274738,"Yes",4,1,2,1,NA,NA,25,9,6,10,NA,NA,0,0,0,0,0,10,0,0,2019-01-26
"buf",274739,"Yes",3,1,2,0,NA,NA,27,5,12,10,NA,NA,0,0,0,0,0,8,0,0,2019-02-02
"met",274739,"No",2,0,2,0,NA,NA,33,9,17,7,NA,NA,0,0,0,0,0,8,0,0,2019-02-02
"ctw",274740,"No",1,1,0,0,NA,NA,26,8,12,6,NA,NA,0,0,0,0,0,12,0,0,2019-02-02
"bos",274740,"Yes",3,1,1,1,NA,NA,29,8,12,9,NA,NA,0,0,0,0,0,6,0,0,2019-02-02
"bos",274741,"Yes",8,3,2,3,NA,NA,41,11,14,16,NA,NA,0,0,0,0,0,4,0,0,2019-02-18
"met",274741,"No",1,0,0,1,NA,NA,30,12,8,10,NA,NA,0,0,0,0,0,2,0,0,2019-02-18
"met",274742,"No",1,0,0,1,NA,NA,38,9,16,13,NA,NA,0,0,0,0,0,8,0,0,2019-02-23
"buf",274742,"Yes",4,1,2,1,NA,NA,20,8,6,6,NA,NA,0,0,0,0,0,4,0,0,2019-02-23
"bos",274743,"Yes",6,3,3,0,NA,NA,26,13,9,4,NA,NA,0,0,0,0,0,2,0,0,2019-02-24
"ctw",274743,"No",1,1,0,0,NA,NA,36,19,11,6,NA,NA,0,0,0,0,0,4,0,0,2019-02-24
"buf",274744,"Yes",5,3,1,1,NA,NA,25,7,7,11,NA,NA,0,0,0,0,0,14,0,0,2019-03-02
"ctw",274744,"No",2,0,0,2,NA,NA,32,16,10,6,NA,NA,0,0,0,0,0,12,0,0,2019-03-02
"min",274745,"Yes",2,0,0,2,NA,NA,32,13,9,10,NA,NA,0,0,0,0,0,8,0,0,2019-03-02
"bos",274745,"No",1,0,0,1,NA,NA,34,7,12,15,NA,NA,0,0,0,0,0,10,0,0,2019-03-02
"buf",274746,"No",3,1,1,1,0,NA,20,5,8,6,1,NA,0,0,0,0,0,16,0,0,2019-03-03
"met",274746,"Yes",4,0,2,1,0,NA,47,15,19,10,3,NA,0,0,0,0,0,16,0,0,2019-03-03
"min",274747,"Yes",4,1,2,1,NA,NA,29,7,11,11,NA,NA,0,0,0,0,0,8,0,0,2019-03-03
"ctw",274747,"No",1,0,1,0,NA,NA,35,13,13,9,NA,NA,0,0,0,0,0,6,0,0,2019-03-03
"ctw",274939,"No",2,2,0,0,NA,NA,29,12,8,9,NA,NA,0,0,0,0,0,10,0,0,2019-03-07
"met",274939,"Yes",5,2,0,3,NA,NA,31,16,7,8,NA,NA,0,0,0,0,0,10,0,0,2019-03-07
"bos",274940,"No",0,0,0,0,NA,NA,39,12,19,8,NA,NA,0,0,0,0,0,10,0,0,2019-03-09
"buf",274940,"Yes",4,0,2,2,NA,NA,35,10,7,18,NA,NA,0,0,0,0,0,4,0,0,2019-03-09
"met",274937,"No",1,0,0,1,NA,NA,42,13,12,17,NA,NA,0,0,0,0,0,8,0,0,2019-03-15
"min",274937,"Yes",5,2,1,2,NA,NA,41,13,13,15,NA,NA,0,0,0,0,0,10,0,0,2019-03-15
"buf",274938,"No",1,1,0,0,0,NA,32,6,13,12,1,NA,0,0,0,0,0,8,0,0,2019-03-17
"min",274938,"Yes",2,1,0,0,1,NA,25,9,8,7,1,NA,0,0,0,0,0,6,0,0,2019-03-17
"buf",268078,"Yes",3,1,0,2,NA,NA,17,4,8,5,NA,NA,9,1,3,0.333,0.513,12,8,5,2019-10-05
"ctw",268078,"No",1,0,1,0,NA,NA,30,4,14,12,NA,NA,13,0,6,0,0.487,6,5,8,2019-10-05
"bos",268077,"Yes",4,1,0,3,NA,NA,40,14,15,11,NA,NA,3,0,6,0,0.569,10,11,6,2019-10-05
"met",268077,"No",2,0,1,1,NA,NA,25,7,11,7,NA,NA,5,1,5,0.2,0.431,12,7,11,2019-10-05
"met",268080,"No",2,2,0,0,NA,NA,37,11,14,12,NA,NA,4,0,5,0,0.667,16,5,4,2019-10-12
"min",268080,"Yes",9,3,4,2,NA,NA,34,11,14,9,NA,NA,11,2,6,0.333,0.333,12,4,5,2019-10-12
"buf",268079,"No",2,0,0,2,NA,NA,20,4,8,8,NA,NA,20,0,3,0,0.429,6,15,12,2019-10-12
"bos",268079,"Yes",4,1,3,0,NA,NA,45,19,16,10,NA,NA,6,0,3,0,0.571,6,12,15,2019-10-12
"buf",268081,"No",1,1,0,0,NA,NA,27,12,10,5,NA,NA,12,0,5,0,0.439,8,7,12,2019-10-13
"bos",268081,"Yes",8,4,3,1,NA,NA,42,11,15,16,NA,NA,7,1,4,0.25,0.561,10,12,7,2019-10-13
"met",268082,"Yes",4,1,1,1,1,NA,24,7,10,6,1,NA,7,1,6,0.167,0.286,6,12,13,2019-10-13
"min",268082,"No",3,1,1,1,0,NA,40,11,17,12,0,NA,2,0,3,0,0.714,12,13,12,2019-10-13
"ctw",268084,"No",4,3,0,1,0,NA,30,11,9,9,1,NA,9,2,12,0.167,0.517,16,3,4,2019-10-19
"buf",268084,"Yes",5,0,2,2,1,NA,30,6,9,11,4,NA,5,4,7,0.571,0.483,28,4,2,2019-10-19
"min",268083,"No",1,0,0,1,NA,NA,48,14,16,18,NA,NA,9,0,3,0,0.481,4,14,16,2019-10-19
"bos",268083,"Yes",3,1,1,1,NA,NA,42,13,18,11,NA,NA,14,0,1,0,0.519,8,16,14,2019-10-19
"ctw",268086,"No",4,1,1,2,NA,NA,31,7,13,11,NA,NA,9,0,4,0,0.533,23,7,2,2019-10-20
"buf",268086,"Yes",6,4,1,1,NA,NA,29,11,9,9,NA,NA,6,2,5,0.4,0.467,8,2,7,2019-10-20
"min",268085,"No",2,0,1,1,NA,NA,37,10,10,17,NA,NA,18,1,3,0.333,0.258,8,17,15,2019-10-20
"bos",268085,"Yes",5,2,1,2,NA,NA,47,15,10,22,NA,NA,19,1,5,0.2,0.742,6,15,17,2019-10-20
"min",268088,"Yes",7,1,3,3,NA,NA,36,15,13,8,NA,NA,8,2,3,0.667,0.42,10,6,5,2019-10-26
"ctw",268088,"No",2,0,2,0,NA,NA,25,8,6,11,NA,NA,8,0,5,0,0.58,6,8,7,2019-10-26
"met",268087,"No",2,0,1,1,NA,NA,31,5,13,13,NA,NA,16,1,5,0.2,0.516,12,14,8,2019-10-26
"bos",268087,"Yes",7,2,2,3,NA,NA,61,23,15,23,NA,NA,12,3,5,0.6,0.484,10,7,13,2019-10-26
"min",268090,"Yes",3,0,1,2,NA,NA,45,12,15,18,NA,NA,8,2,4,0.5,0.515,4,3,4,2019-10-27
"ctw",268090,"No",2,0,0,2,NA,NA,23,6,7,10,NA,NA,22,1,2,0.5,0.485,6,4,6,2019-10-27
"met",268089,"No",3,0,1,2,NA,NA,46,12,17,17,NA,NA,7,1,7,0.143,0.452,20,7,9,2019-10-27
"bos",268089,"Yes",5,2,2,1,NA,NA,46,18,12,16,NA,NA,7,3,10,0.3,0.548,14,9,7,2019-10-27
"buf",268091,"No",1,0,1,0,NA,NA,19,4,9,6,NA,NA,11,0,4,0,0.304,14,6,5,2019-11-16
"bos",268091,"Yes",6,2,2,2,NA,NA,42,12,14,16,NA,NA,6,0,7,0,0.696,8,5,6,2019-11-16
"buf",268092,"Yes",3,0,1,2,NA,NA,26,4,10,12,NA,NA,10,0,3,0,0.543,12,4,1,2019-11-17
"ctw",268092,"No",1,0,0,1,NA,NA,42,13,12,17,NA,NA,12,0,6,0,0.457,4,7,0,2019-11-17
"ctw",268093,"No",0,0,0,0,NA,NA,19,9,5,5,NA,NA,26,0,3,0,0.421,2,12,18,2019-11-23
"bos",268093,"Yes",8,2,1,5,NA,NA,54,20,19,15,NA,NA,8,1,1,1,0.579,6,18,12,2019-11-23
"min",268094,"Yes",5,4,0,1,NA,NA,33,13,13,7,NA,NA,15,2,5,0.4,0.5,12,10,10,2019-11-23
"buf",268094,"No",3,1,1,1,NA,NA,31,10,11,10,NA,NA,9,1,6,0.167,0.5,10,10,10,2019-11-23
"min",268095,"No",3,1,1,1,NA,NA,42,16,19,7,NA,NA,9,1,8,0.125,0.448,14,7,9,2019-11-24
"buf",268095,"Yes",4,0,0,4,NA,NA,29,7,7,15,NA,NA,7,2,6,0.333,0.552,18,9,7,2019-11-24
"buf",268097,"Yes",6,2,2,2,NA,NA,33,13,6,14,NA,NA,8,2,6,0.333,0.388,10,11,13,2019-11-30
"ctw",268097,"No",2,1,1,0,NA,NA,23,9,6,8,NA,NA,14,1,5,0.2,0.612,12,13,10,2019-11-30
"met",268096,"No",2,1,1,0,NA,NA,23,8,7,8,NA,NA,15,0,3,0,0.463,8,16,14,2019-11-30
"bos",268096,"Yes",5,2,1,2,NA,NA,43,13,18,12,NA,NA,9,0,5,0,0.537,6,14,16,2019-11-30
"met",268098,"Yes",2,1,0,1,NA,NA,25,5,8,12,NA,NA,16,0,5,0,0.5,18,1,2,2019-12-01
"ctw",268098,"No",1,0,0,1,NA,NA,34,11,10,13,NA,NA,6,1,9,0.111,0.5,20,2,3,2019-12-01
"bos",268099,"Yes",8,2,6,0,NA,NA,33,11,14,8,NA,NA,8,0,11,0,0.6,22,19,16,2019-12-07
"met",268099,"No",3,1,2,0,NA,NA,31,13,9,9,NA,NA,7,0,11,0,0.4,32,16,17,2019-12-07
"met",268100,"Yes",3,0,2,1,NA,NA,31,12,12,7,NA,NA,7,0,5,0,0.533,10,6,4,2019-12-08
"ctw",268100,"No",2,0,1,1,NA,NA,23,2,11,10,NA,NA,17,1,5,0.2,0.467,10,5,6,2019-12-08
"met",268101,"Yes",3,1,1,0,0,"1",25,9,10,4,2,2,7,2,2,1,0.431,6,14,15,2019-12-14
"min",268101,"No",2,0,1,1,0,"0",42,13,13,12,4,3,8,1,3,0.333,0.569,4,15,14,2019-12-14
"met",268102,"No",2,0,0,2,NA,NA,27,7,10,10,NA,NA,5,1,3,0.333,0.533,6,4,10,2019-12-15
"min",268102,"Yes",5,2,2,1,NA,NA,35,11,11,13,NA,NA,13,0,3,0,0.467,6,10,4,2019-12-15
"min",268103,"Yes",3,0,0,3,NA,NA,37,7,18,12,NA,NA,9,0,4,0,0.529,4,12,2,2019-12-21
"ctw",268103,"No",0,0,0,0,NA,NA,20,9,5,6,NA,NA,22,0,2,0,0.471,6,4,10,2019-12-21
"bos",268104,"Yes",4,1,1,1,1,NA,44,14,17,10,3,NA,5,0,4,0,0.641,14,5,2,2019-12-21
"buf",268104,"No",3,1,2,0,0,NA,23,9,6,8,0,NA,14,1,6,0.167,0.359,20,2,5,2019-12-21
"bos",268106,"Yes",4,3,0,1,NA,NA,34,15,8,11,NA,NA,5,1,8,0.125,0.629,19,7,2,2019-12-22
"buf",268106,"No",2,1,0,1,NA,NA,20,7,5,8,NA,NA,7,2,6,0.333,0.371,20,2,7,2019-12-22
"min",268105,"Yes",2,2,0,0,NA,NA,44,16,12,16,NA,NA,11,0,2,0,0.5,4,21,6,2019-12-22
"ctw",268105,"No",1,1,0,0,NA,NA,33,11,10,12,NA,NA,19,0,2,0,0.5,4,19,20,2019-12-22
"bos",268108,"Yes",2,1,0,0,0,"1",57,12,17,25,3,2,15,0,2,0,0.533,10,10,2,2019-12-28
"ctw",268108,"No",1,0,0,1,0,"0",24,7,6,10,1,3,25,0,5,0,0.467,4,5,11,2019-12-28
"met",268107,"Yes",7,2,1,4,NA,NA,35,10,16,9,NA,NA,11,2,7,0.286,0.568,10,7,7,2019-12-28
"buf",268107,"No",4,0,0,4,NA,NA,26,7,6,13,NA,NA,10,0,5,0,0.432,14,7,7,2019-12-28
"met",268109,"Yes",6,1,2,3,NA,NA,34,17,7,10,NA,NA,8,3,7,0.429,0.522,25,8,3,2019-12-29
"buf",268109,"No",3,1,1,1,NA,NA,20,9,5,6,NA,NA,9,0,4,0,0.478,34,3,8,2019-12-29
"bos",268110,"Yes",7,2,2,3,NA,NA,54,15,22,17,NA,NA,9,1,5,0.2,0.508,2,15,12,2019-12-29
"ctw",268110,"No",2,0,1,1,NA,NA,30,6,11,13,NA,NA,23,0,1,0,0.492,10,22,22,2019-12-29
"min",268111,"Yes",2,1,1,0,NA,NA,27,11,11,5,NA,NA,5,1,4,0.25,0.463,10,15,9,2020-01-04
"met",268111,"No",0,0,0,0,NA,NA,34,9,12,13,NA,NA,8,0,5,0,0.537,8,9,15,2020-01-04
"bos",268112,"Yes",5,2,1,2,NA,NA,38,15,15,8,NA,NA,9,2,5,0.4,0.618,14,8,7,2020-01-04
"buf",268112,"No",2,0,1,1,NA,NA,28,8,8,12,NA,NA,11,1,7,0.143,0.382,12,7,8,2020-01-04
"bos",268114,"Yes",7,3,3,1,NA,NA,52,21,16,15,NA,NA,8,4,6,0.667,0.621,10,8,2,2020-01-05
"buf",268114,"No",2,2,0,0,NA,NA,23,8,9,6,NA,NA,8,1,5,0.2,0.379,12,2,8,2020-01-05
"min",268113,"No",1,0,1,0,NA,NA,61,17,34,10,NA,NA,4,1,4,0.25,0.438,2,11,10,2020-01-05
"met",268113,"Yes",3,0,1,2,NA,NA,37,10,12,15,NA,NA,11,0,1,0,0.562,8,10,11,2020-01-05
"ctw",268116,"Yes",4,0,2,1,1,NA,26,6,8,9,3,NA,9,1,5,0.2,0.449,6,19,18,2020-01-11
"met",268116,"No",3,1,0,2,0,NA,40,12,12,15,1,NA,8,1,3,0.333,0.551,13,18,19,2020-01-11
"buf",268115,"No",2,0,2,0,NA,NA,29,8,9,12,NA,NA,9,1,3,0.333,0.521,6,9,7,2020-01-11
"min",268115,"Yes",8,1,2,5,NA,NA,41,14,12,15,NA,NA,4,1,3,0.333,0.479,6,7,9,2020-01-11
"buf",268117,"No",1,1,0,0,NA,NA,29,7,18,4,NA,NA,6,0,2,0,0.583,2,9,8,2020-01-12
"min",268117,"Yes",7,3,3,1,NA,NA,31,13,6,12,NA,NA,13,0,1,0,0.417,4,8,9,2020-01-12
"ctw",268118,"No",2,1,0,1,NA,NA,29,8,9,12,NA,NA,19,0,1,0,0.4,6,7,12,2020-01-12
"bos",268118,"Yes",4,2,1,1,NA,NA,57,23,19,15,NA,NA,7,0,3,0,0.6,2,12,7,2020-01-12
"ctw",268119,"No",1,0,1,0,NA,NA,32,15,9,8,NA,NA,10,0,4,0,0.519,8,10,15,2020-01-18
"min",268119,"Yes",6,3,2,1,NA,NA,33,9,10,14,NA,NA,11,0,3,0,0.481,10,15,10,2020-01-18
"ctw",268120,"No",0,0,0,0,NA,NA,34,8,14,12,NA,NA,10,0,3,0,0.584,20,6,10,2020-01-19
"min",268120,"Yes",7,2,2,3,NA,NA,57,17,18,22,NA,NA,5,2,8,0.25,0.416,8,10,6,2020-01-19
"met",268121,"No",3,1,1,1,NA,NA,17,3,6,8,NA,NA,13,0,3,0,0.404,10,10,10,2020-01-20
"bos",268121,"Yes",5,2,0,3,NA,NA,41,13,12,16,NA,NA,11,1,6,0.167,0.596,6,10,10,2020-01-20
"ctw",268123,"Yes",2,1,0,0,0,"1",29,11,9,8,1,7,17,0,3,0,0.373,10,17,11,2020-01-25
"met",268123,"No",1,1,0,0,0,"0",35,13,5,13,4,8,5,0,5,0,0.627,6,11,17,2020-01-25
"bos",268122,"No",3,1,0,2,NA,NA,39,9,15,15,NA,NA,5,0,3,0,0.547,0,3,3,2020-01-25
"min",268122,"Yes",4,1,1,2,NA,NA,31,8,12,11,NA,NA,4,0,0,0,0.453,6,3,3,2020-01-25
"bos",268124,"Yes",4,1,1,2,NA,NA,26,9,8,9,NA,NA,5,1,1,1,0.607,12,1,0,2020-01-26
"min",268124,"No",2,0,1,1,NA,NA,35,12,9,14,NA,NA,4,0,6,0,0.393,2,0,1,2020-01-26
"ctw",268125,"No",2,0,1,1,NA,NA,25,11,8,6,NA,NA,8,0,5,0,0.632,6,15,9,2020-01-26
"met",268125,"Yes",4,1,3,0,NA,NA,29,5,13,11,NA,NA,10,0,3,0,0.368,10,9,15,2020-01-26
"packer",301699,"No",2,1,1,NA,NA,NA,36,18,18,NA,NA,NA,6,0,1,0,0.394,2,0,0,2020-02-09
"dempsey",301699,"Yes",5,3,2,NA,NA,NA,30,19,11,NA,NA,NA,4,1,1,1,0.606,2,0,0,2020-02-09
"ctw",268126,"No",1,0,0,1,NA,NA,23,8,6,9,NA,NA,7,0,4,0,0.371,14,3,5,2020-02-15
"bos",268126,"Yes",4,0,1,3,NA,NA,50,13,20,17,NA,NA,2,1,7,0.143,0.629,8,5,3,2020-02-15
"buf",268127,"Yes",6,2,3,0,0,"2",20,8,7,5,0,2,12,0,3,0,0.517,16,8,5,2020-02-15
"met",268127,"No",5,1,3,1,0,"1",39,12,10,11,6,3,10,1,3,0.333,0.483,16,4,8,2020-02-15
"buf",268128,"No",3,1,1,1,NA,NA,28,8,8,12,NA,NA,6,1,3,0.333,0.491,13,4,1,2020-02-16
"met",268128,"Yes",4,2,2,0,NA,NA,33,15,9,9,NA,NA,4,0,6,0,0.509,9,1,4,2020-02-16
"bos",268130,"Yes",3,2,0,1,NA,NA,49,18,13,18,NA,NA,6,1,4,0.25,0.39,6,5,2,2020-02-22
"ctw",268130,"No",0,0,0,0,NA,NA,13,6,5,2,NA,NA,8,0,3,0,0.61,8,2,8,2020-02-22
"min",268129,"Yes",6,2,0,4,NA,NA,44,12,19,13,NA,NA,2,1,6,0.167,0.521,4,6,3,2020-02-22
"buf",268129,"No",1,1,0,0,NA,NA,23,13,6,4,NA,NA,11,0,2,0,0.479,12,3,6,2020-02-22
"min",268131,"Yes",9,2,6,1,NA,NA,36,11,15,10,NA,NA,12,1,4,0.25,0.571,12,7,4,2020-02-23
"buf",268131,"No",3,2,0,1,NA,NA,20,11,7,2,NA,NA,7,0,6,0,0.429,8,4,7,2020-02-23
"bos",268132,"Yes",5,4,1,0,NA,NA,36,17,10,9,NA,NA,11,2,4,0.5,0.654,4,7,5,2020-02-23
"met",268132,"No",0,0,0,0,NA,NA,29,9,9,11,NA,NA,18,0,2,0,0.346,8,5,7,2020-02-23
"buf",268133,"No",2,0,2,0,NA,NA,27,10,11,6,NA,NA,3,0,4,0,0.563,4,1,0,2020-02-29
"met",268133,"Yes",5,2,0,3,NA,NA,41,17,12,12,NA,NA,4,0,1,0,0.438,10,0,2,2020-02-29
