game_id,link,game_type_abbreviation,season_full,game_date_time,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_name,venue_link,venue_id,content_link,game_type,game_date,season,PBP,team_box,player_box
2022020069,/api/v1/game/2022020069/feed/live,R,20222023,2022-10-21T01:00:00Z,Final,7,Final,7,FALSE,4,12,Carolina Hurricanes,/api/v1/teams/12,6,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2022020069/content,REG,2022-10-21,2023,TRUE,TRUE,TRUE
2022020068,/api/v1/game/2022020068/feed/live,R,20222023,2022-10-21T01:30:00Z,Final,7,Final,7,FALSE,6,7,Buffalo Sabres,/api/v1/teams/7,3,20,Calgary Flames,/api/v1/teams/20,Scotiabank Saddledome,/api/v1/venues/5075,5075,/api/v1/game/2022020068/content,REG,2022-10-21,2023,TRUE,TRUE,TRUE
2022020070,/api/v1/game/2022020070/feed/live,R,20222023,2022-10-21T02:00:00Z,Final,7,Final,7,FALSE,2,52,Winnipeg Jets,/api/v1/teams/52,5,54,Vegas Golden Knights,/api/v1/teams/54,T-Mobile Arena,/api/v1/venues/5178,5178,/api/v1/game/2022020070/content,REG,2022-10-21,2023,TRUE,TRUE,TRUE
2022020071,/api/v1/game/2022020071/feed/live,R,20222023,2022-10-21T23:30:00Z,Final,7,Final,7,FALSE,3,14,Tampa Bay Lightning,/api/v1/teams/14,2,13,Florida Panthers,/api/v1/teams/13,FLA Live Arena,/api/v1/venues/5027,5027,/api/v1/game/2022020071/content,REG,2022-10-21,2023,TRUE,TRUE,TRUE
2022020057,/api/v1/game/2022020057/feed/live,R,20222023,2022-10-20T00:00:00Z,Final,7,Final,7,FALSE,4,52,Winnipeg Jets,/api/v1/teams/52,3,21,Colorado Avalanche,/api/v1/teams/21,Ball Arena,/api/v1/venues/5064,5064,/api/v1/game/2022020057/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020058,/api/v1/game/2022020058/feed/live,R,20222023,2022-10-20T02:00:00Z,Final,7,Final,7,FALSE,4,19,St. Louis Blues,/api/v1/teams/19,3,55,Seattle Kraken,/api/v1/teams/55,Climate Pledge Arena,/api/v1/venues/null,,/api/v1/game/2022020058/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020059,/api/v1/game/2022020059/feed/live,R,20222023,2022-10-20T23:00:00Z,Final,7,Final,7,FALSE,1,24,Anaheim Ducks,/api/v1/teams/24,2,6,Boston Bruins,/api/v1/teams/6,TD Garden,/api/v1/venues/5085,5085,/api/v1/game/2022020059/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020060,/api/v1/game/2022020060/feed/live,R,20222023,2022-10-20T23:00:00Z,Final,7,Final,7,FALSE,2,53,Arizona Coyotes,/api/v1/teams/53,6,8,Montréal Canadiens,/api/v1/teams/8,Centre Bell,/api/v1/venues/null,,/api/v1/game/2022020060/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020061,/api/v1/game/2022020061/feed/live,R,20222023,2022-10-20T23:00:00Z,Final,7,Final,7,FALSE,2,25,Dallas Stars,/api/v1/teams/25,3,10,Toronto Maple Leafs,/api/v1/teams/10,Scotiabank Arena,/api/v1/venues/null,,/api/v1/game/2022020061/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020062,/api/v1/game/2022020062/feed/live,R,20222023,2022-10-20T23:00:00Z,Final,7,Final,7,FALSE,1,26,Los Angeles Kings,/api/v1/teams/26,6,5,Pittsburgh Penguins,/api/v1/teams/5,PPG Paints Arena,/api/v1/venues/5034,5034,/api/v1/game/2022020062/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020063,/api/v1/game/2022020063/feed/live,R,20222023,2022-10-20T23:00:00Z,Final,7,Final,7,FALSE,3,18,Nashville Predators,/api/v1/teams/18,5,29,Columbus Blue Jackets,/api/v1/teams/29,Nationwide Arena,/api/v1/venues/5059,5059,/api/v1/game/2022020063/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020064,/api/v1/game/2022020064/feed/live,R,20222023,2022-10-20T23:00:00Z,Final,7,Final,7,FALSE,3,28,San Jose Sharks,/api/v1/teams/28,2,3,New York Rangers,/api/v1/teams/3,Madison Square Garden,/api/v1/venues/5054,5054,/api/v1/game/2022020064/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020065,/api/v1/game/2022020065/feed/live,R,20222023,2022-10-20T23:00:00Z,Final,7,Final,7,FALSE,2,15,Washington Capitals,/api/v1/teams/15,5,9,Ottawa Senators,/api/v1/teams/9,Canadian Tire Centre,/api/v1/venues/5031,5031,/api/v1/game/2022020065/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020066,/api/v1/game/2022020066/feed/live,R,20222023,2022-10-20T23:30:00Z,Final,7,Final,7,FALSE,4,1,New Jersey Devils,/api/v1/teams/1,1,2,New York Islanders,/api/v1/teams/2,UBS Arena,/api/v1/venues/null,,/api/v1/game/2022020066/content,REG,2022-10-20,2023,TRUE,TRUE,TRUE
2022020054,/api/v1/game/2022020054/feed/live,R,20222023,2022-10-19T01:00:00Z,Final,7,Final,7,FALSE,4,7,Buffalo Sabres,/api/v1/teams/7,2,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2022020054/content,REG,2022-10-19,2023,TRUE,TRUE,TRUE
