game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_name,venue_link,venue_id,content_link,game_type
2016021015,/api/v1/game/2016021015/feed/live,R,20162017,2017-03-13T02:00:00Z,Final,7,Final,7,FALSE,1,25,Dallas Stars,/api/v1/teams/25,5,28,San Jose Sharks,/api/v1/teams/28,SAP Center at San Jose,/api/v1/venues/null,,/api/v1/game/2016021015/content,REG
2016021017,/api/v1/game/2016021017/feed/live,R,20162017,2017-03-13T23:00:00Z,Final,7,Final,7,FALSE,3,14,Tampa Bay Lightning,/api/v1/teams/14,2,3,New York Rangers,/api/v1/teams/3,Madison Square Garden,/api/v1/venues/5054,5054,/api/v1/game/2016021017/content,REG
2016021018,/api/v1/game/2016021018/feed/live,R,20162017,2017-03-13T23:00:00Z,Final,7,Final,7,FALSE,5,29,Columbus Blue Jackets,/api/v1/teams/29,3,4,Philadelphia Flyers,/api/v1/teams/4,Wells Fargo Center,/api/v1/venues/5096,5096,/api/v1/game/2016021018/content,REG
2016021016,/api/v1/game/2016021016/feed/live,R,20162017,2017-03-13T23:30:00Z,Final,7,Final,7,FALSE,8,12,Carolina Hurricanes,/api/v1/teams/12,4,2,New York Islanders,/api/v1/teams/2,Barclays Center,/api/v1/venues/5026,5026,/api/v1/game/2016021016/content,REG
2016021019,/api/v1/game/2016021019/feed/live,R,20162017,2017-03-14T00:00:00Z,Final,7,Final,7,FALSE,4,52,Winnipeg Jets,/api/v1/teams/52,5,18,Nashville Predators,/api/v1/teams/18,Bridgestone Arena,/api/v1/venues/5030,5030,/api/v1/game/2016021019/content,REG
2016021020,/api/v1/game/2016021020/feed/live,R,20162017,2017-03-14T01:00:00Z,Final,7,Final,7,FALSE,3,5,Pittsburgh Penguins,/api/v1/teams/5,4,20,Calgary Flames,/api/v1/teams/20,Scotiabank Saddledome,/api/v1/venues/5075,5075,/api/v1/game/2016021020/content,REG
2016021021,/api/v1/game/2016021021/feed/live,R,20162017,2017-03-14T02:00:00Z,Final,7,Final,7,FALSE,6,6,Boston Bruins,/api/v1/teams/6,3,23,Vancouver Canucks,/api/v1/teams/23,Rogers Arena,/api/v1/venues/5073,5073,/api/v1/game/2016021021/content,REG
2016021022,/api/v1/game/2016021022/feed/live,R,20162017,2017-03-14T02:00:00Z,Final,7,Final,7,FALSE,0,21,Colorado Avalanche,/api/v1/teams/21,1,53,Arizona Coyotes,/api/v1/teams/53,Gila River Arena,/api/v1/venues/5043,5043,/api/v1/game/2016021022/content,REG
2016021023,/api/v1/game/2016021023/feed/live,R,20162017,2017-03-14T02:00:00Z,Final,7,Final,7,FALSE,3,19,St. Louis Blues,/api/v1/teams/19,1,26,Los Angeles Kings,/api/v1/teams/26,STAPLES Center,/api/v1/venues/5081,5081,/api/v1/game/2016021023/content,REG
2016021025,/api/v1/game/2016021025/feed/live,R,20162017,2017-03-14T23:00:00Z,Final,7,Final,7,FALSE,2,30,Minnesota Wild,/api/v1/teams/30,4,15,Washington Capitals,/api/v1/teams/15,Verizon Center,/api/v1/venues/null,,/api/v1/game/2016021025/content,REG
