game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_id,venue_name,venue_link,content_link,game_type
2017020822,/api/v1/game/2017020822/feed/live,R,20172018,2018-02-07T02:00:00Z,Final,7,Final,7,FALSE,1,28,San Jose Sharks,/api/v1/teams/28,3,21,Colorado Avalanche,/api/v1/teams/21,,Pepsi Center,/api/v1/venues/null,/api/v1/game/2017020822/content,REG
2017020823,/api/v1/game/2017020823/feed/live,R,20172018,2018-02-08T00:30:00Z,Final,7,Final,7,FALSE,2,18,Nashville Predators,/api/v1/teams/18,3,10,Toronto Maple Leafs,/api/v1/teams/10,5015,Air Canada Centre,/api/v1/venues/5015,/api/v1/game/2017020823/content,REG
2017020824,/api/v1/game/2017020824/feed/live,R,20172018,2018-02-08T01:00:00Z,Final,7,Final,7,FALSE,6,6,Boston Bruins,/api/v1/teams/6,1,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2017020824/content,REG
2017020825,/api/v1/game/2017020825/feed/live,R,20172018,2018-02-08T03:30:00Z,Final,7,Final,7,FALSE,2,22,Edmonton Oilers,/api/v1/teams/22,5,26,Los Angeles Kings,/api/v1/teams/26,5081,STAPLES Center,/api/v1/venues/5081,/api/v1/game/2017020825/content,REG
2017020826,/api/v1/game/2017020826/feed/live,R,20172018,2018-02-09T00:00:00Z,Final,7,Final,7,FALSE,3,2,New York Islanders,/api/v1/teams/2,4,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2017020826/content,REG
2017020827,/api/v1/game/2017020827/feed/live,R,20172018,2018-02-09T00:00:00Z,Final,7,Final,7,FALSE,3,20,Calgary Flames,/api/v1/teams/20,2,1,New Jersey Devils,/api/v1/teams/1,,Prudential Center,/api/v1/venues/null,/api/v1/game/2017020827/content,REG
2017020828,/api/v1/game/2017020828/feed/live,R,20172018,2018-02-09T00:00:00Z,Final,7,Final,7,FALSE,3,8,Montréal Canadiens,/api/v1/teams/8,5,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2017020828/content,REG
2017020829,/api/v1/game/2017020829/feed/live,R,20172018,2018-02-09T00:30:00Z,Final,7,Final,7,FALSE,3,18,Nashville Predators,/api/v1/teams/18,4,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2017020829/content,REG
2017020830,/api/v1/game/2017020830/feed/live,R,20172018,2018-02-09T00:30:00Z,Final,7,Final,7,FALSE,2,23,Vancouver Canucks,/api/v1/teams/23,5,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2017020830/content,REG
2017020831,/api/v1/game/2017020831/feed/live,R,20172018,2018-02-09T01:00:00Z,Final,7,Final,7,FALSE,1,21,Colorado Avalanche,/api/v1/teams/21,6,19,St. Louis Blues,/api/v1/teams/19,,Scottrade Center,/api/v1/venues/null,/api/v1/game/2017020831/content,REG
2017020832,/api/v1/game/2017020832/feed/live,R,20172018,2018-02-09T01:00:00Z,Final,7,Final,7,FALSE,4,53,Arizona Coyotes,/api/v1/teams/53,3,30,Minnesota Wild,/api/v1/teams/30,5098,Xcel Energy Center,/api/v1/venues/5098,/api/v1/game/2017020832/content,REG
2017020833,/api/v1/game/2017020833/feed/live,R,20172018,2018-02-09T01:30:00Z,Final,7,Final,7,FALSE,4,25,Dallas Stars,/api/v1/teams/25,2,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2017020833/content,REG
2017020834,/api/v1/game/2017020834/feed/live,R,20172018,2018-02-09T03:30:00Z,Final,7,Final,7,FALSE,5,54,Vegas Golden Knights,/api/v1/teams/54,3,28,San Jose Sharks,/api/v1/teams/28,,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2017020834/content,REG
2017020835,/api/v1/game/2017020835/feed/live,R,20172018,2018-02-10T00:00:00Z,Final,7,Final,7,FALSE,6,17,Detroit Red Wings,/api/v1/teams/17,7,2,New York Islanders,/api/v1/teams/2,5026,Barclays Center,/api/v1/venues/5026,/api/v1/game/2017020835/content,REG
2017020836,/api/v1/game/2017020836/feed/live,R,20172018,2018-02-10T00:00:00Z,Final,7,Final,7,FALSE,3,20,Calgary Flames,/api/v1/teams/20,4,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2017020836/content,REG
